,V3 minus Equal Weight,V3 minus Markowitz,V3 minus Original HMM-MPC
2022-02-23,0.26570396509596916,0.5192953571755639,0.2833365521758018
2022-02-24,0.24674794155203594,0.5152211625152763,0.27105076434087305
2022-02-25,0.2541104078425729,0.525757953037743,0.2783048026084125
2022-02-28,0.25872989830423165,0.5490807433441525,0.2994455539317462
2022-03-01,0.27259455920508335,0.5429914423809343,0.3011464921136686
2022-03-02,0.2783755486776358,0.5673250009985926,0.3213936814563536
2022-03-03,0.279077987298479,0.5658076729357191,0.3159287886083515
2022-03-04,0.29209150365939607,0.5829690178235953,0.3317432870642425
2022-03-07,0.30939454517061726,0.6021618602125458,0.3463646974789505
2022-03-08,0.3144335794426114,0.6372037345375325,0.3821154497136323
2022-03-09,0.2888298258352222,0.6138172532696826,0.35890827283074067
2022-03-10,0.300804180789926,0.6365261104302244,0.38806496930458456
2022-03-11,0.29646323350140813,0.6332364657931207,0.38746945130322397
2022-03-14,0.27846825361644045,0.5969048450306356,0.35893983202361257
2022-03-15,0.2505672846445508,0.5471056230342604,0.3045431412568509
2022-03-16,0.24251319346283973,0.5510208106211181,0.3079585916182799
2022-03-17,0.25759048886709257,0.5755359609781125,0.3376405287236377
2022-03-18,0.258427965381967,0.5733783764470521,0.3373227974588735
2022-03-21,0.2816552748471839,0.6180978482649757,0.3778163542111672
2022-03-22,0.2708189674704391,0.6081836428817939,0.36489998785865385
2022-03-23,0.27630531370065015,0.6272997422679123,0.3788846273689934
2022-03-24,0.2771880488998284,0.6382632788897293,0.38145573851742043
2022-03-25,0.2858640544308759,0.6614816644118262,0.39981724779686134
2022-03-28,0.26029427705995634,0.6154505247131525,0.3544624133072216
2022-03-29,0.2529194314645542,0.609869161559712,0.3412124517974937
2022-03-30,0.26467423708263293,0.6208729494548932,0.3528352232540666
2022-03-31,0.263775290173915,0.6041144228515876,0.3348724651912103
2022-04-01,0.2688387723943819,0.601256020167872,0.3302157636268519
2022-04-04,0.2672823561693889,0.6076127210008759,0.33113311731999184
2022-04-05,0.2605822752352358,0.5808416700648524,0.30832171151198917
2022-04-06,0.2827155278086484,0.5753030006997295,0.3078593548327686
2022-04-07,0.30587452440019547,0.5785221117739567,0.32134876173879423
2022-04-08,0.3384350500762019,0.6145385816980973,0.3626872479237835
2022-04-11,0.2984496224562134,0.5688139884895396,0.31887848365189875
2022-04-12,0.32421753242762774,0.6032051462588979,0.3479919690086697
2022-04-13,0.33261161568266484,0.61852089944753,0.36302459766601247
