date,strategy,cost_multiplier,turnover,solver_status,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-09-06,ShrinkBlend_HMMMPC,2.882418624913483,3.585318030194284e-18,optimal,3.87996050196935e-18,3.04903813578804e-18,3.929849840025903e-18,3.7989374128672e-18,0.03927529046551886,0.037257603366781536,0.5880541243190377,0.028744420966165397,0.30666856088249655
2019-09-13,ShrinkBlend_HMMMPC,1.5181137963894211,0.015914277396295994,optimal,2.107813777760439e-18,1.4303270336191935e-18,2.1477832793537384e-18,2.036739208619797e-18,0.03927529046551885,0.03725760336678153,0.6039684017153336,0.012830143569869404,0.3066685608824965
2019-09-20,ShrinkBlend_HMMMPC,1.5179549897757476,0.014373797077639316,optimal,7.302337456940216e-10,9.56452014052312e-10,7.609295517147864e-10,6.960170356762454e-10,0.03927529219117789,0.03725760311721512,0.6183421939236816,0.0,0.30512490762429306
2019-09-27,ShrinkBlend_HMMMPC,1.517953951753754,0.11150669854882611,optimal,4.440995657777765e-10,0.0,4.669749108232374e-10,4.193950424265898e-10,0.03927529219117789,0.03725760311721512,0.7298488924725077,0.0,0.1936182108886298
2019-10-04,ShrinkBlend_HMMMPC,2.8961948496966623,4.336648956862268e-10,optimal,2.998726656273489e-10,3.111565317342142e-11,3.1527712989471915e-10,2.816548002423224e-10,0.03927529225650266,0.037257603182295485,0.7298488926214847,3.914612259531036e-11,0.1936182109726508
2019-10-11,ShrinkBlend_HMMMPC,2.764065891937549,3.050307680309233e-10,optimal,1.9908600803792424e-10,3.813213553704281e-11,2.0754631693490968e-10,1.8514147257873742e-10,0.03927529230746297,0.03725760323306512,0.7298488927377026,5.3667135310944056e-11,0.19361821103819618
2019-10-18,ShrinkBlend_HMMMPC,1.5162272511671746,3.931359167628906e-07,optimal,0.0,0.0,0.0,0.0,0.039275188874774054,0.037257996368981874,0.7298487231980079,0.0,0.19361809155823612
2019-10-25,ShrinkBlend_HMMMPC,1.5261878052380111,2.3866153718151894e-11,optimal,1.5144088907377652e-12,1.3436396340283782e-12,1.621048122033816e-12,1.8060943284236887e-12,0.03927518885587485,0.03725799637343998,0.729848723193041,1.045191599869281e-12,0.19361809157031382
2019-11-01,ShrinkBlend_HMMMPC,1.0119040225999882,2.9232272969858422e-12,optimal,1.1541891535159597e-12,8.678253586826264e-13,1.2368300064668747e-12,1.3363692046667259e-12,0.039275188856439706,0.03725799637579839,0.7298487231921165,9.886429876394906e-13,0.19361809157006163
2019-11-08,ShrinkBlend_HMMMPC,1.507832104176968,2.0573450109551556e-10,optimal,1.4612319829282316e-11,1.2626540972817972e-11,1.618903166188416e-11,1.7837547949194492e-11,0.03927518869253814,0.037257996414928975,0.7298487231502835,1.0380791577308619e-11,0.19361809167060312
2019-11-15,ShrinkBlend_HMMMPC,1.506828418779523,1.924304555256323e-07,optimal,0.0,0.0,0.0,0.0,0.0392753811229937,0.03725795363879504,0.7298486134552948,0.0,0.19361805178291644
2019-11-22,ShrinkBlend_HMMMPC,1.4896492809254354,2.1207114080101785e-07,optimal,0.0,0.0,0.0,0.0,0.03927559319413451,0.03725791117582085,0.729848488384281,0.0,0.19361800724576372
2019-11-29,ShrinkBlend_HMMMPC,1.016622254059431,5.062780115319453e-12,optimal,2.6475902143834286e-13,1.1178024163281122e-13,2.953550295375945e-13,3.5951605056773545e-13,0.03927559319037196,0.03725791117521861,0.729848488383583,7.272045064503787e-14,0.19361800724972236
2019-12-06,ShrinkBlend_HMMMPC,1.0163691812186937,4.792237335437454e-12,optimal,2.8893994921705224e-13,2.9586166413328217e-13,3.33338782754388e-13,2.0781486519394147e-13,0.03927559319283207,0.037257911176192184,0.7298484883846953,0.0,0.19361800724515457
2019-12-13,ShrinkBlend_HMMMPC,1.0485735316614189,0.12190792176960362,optimal,6.6138032305084904e-09,5.6969247722957084e-09,0.08075896636446361,6.489297817784694e-09,0.08042450186988222,0.03725792165728532,0.6079405666150917,6.4138774812991e-09,0.19361801827937394
2019-12-20,ShrinkBlend_HMMMPC,1.01587078091798,0.06176359520679699,optimal,3.932547125828512e-09,0.0,0.08075896529563036,3.826671487686283e-09,0.1421880970766792,0.03725792125872005,0.5461769874023337,4.023159698238248e-09,0.19361801718425847
2019-12-27,ShrinkBlend_HMMMPC,1.0158704030101933,2.010701016740667e-07,optimal,0.0,0.0,0.08075893596614142,0.0,0.14218829814678083,0.03725789196242792,0.5461768953702553,0.0,0.19361797855439453
2020-01-03,ShrinkBlend_HMMMPC,1.0158715262795828,0.11166866715428561,optimal,1.657458663226059e-22,5.070637106875542e-23,0.08075893596614143,0.0,0.25385696530106644,0.03725789196242793,0.5461768953702554,8.841571863276406e-23,0.08194931140010903
2020-01-10,ShrinkBlend_HMMMPC,1.01587647525222,0.08194931140010889,optimal,2.826802359503719e-23,7.814008216481072e-25,0.08075893596614143,1.1716408320674592e-23,0.3358062767011752,0.03725789196242793,0.5461768953702554,8.217439270229334e-23,0.0
2020-01-17,ShrinkBlend_HMMMPC,1.015881561889703,0.05976308310016395,optimal,0.0,0.0,0.020995852865977518,0.0,0.39556935980133917,0.03725789196242793,0.5461768953702554,0.0,0.0
