,net_return,turnover,cost,wealth
2016-12-07,0.0115789117540408,0.0,0.0,1.618054318325363
2016-12-08,-0.0007779711091587815,0.0,0.0,1.6167955188126564
2016-12-09,0.010948820500331191,0.0,0.0,1.634497522733876
2016-12-12,0.0056516163305913025,3.7310641202016566e-18,3.826814626256005e-21,1.64373507562567
2016-12-13,0.007143715625069769,0.0,0.0,1.6554774515688921
2016-12-14,-0.014117376682743488,0.0,0.0,1.6321064527953058
2016-12-15,0.005272947544437967,0.0,0.0,1.6407124645078341
2016-12-16,0.00660623335627486,0.0,0.0,1.6515513939189217
2016-12-19,0.002574235065848196,0.07475555179688892,7.660971777828731e-05,1.6558028754301983
2016-12-20,0.0011951269842036538,0.0,0.0,1.657781770127147
2016-12-21,-0.003103260057017332,0.0,0.0,1.6526372421766597
2016-12-22,0.0005050181700330114,0.0,0.0,1.6534718540124322
2016-12-23,0.0014817030832532385,0.0,0.0,1.655921808356595
2016-12-27,0.001063236555015834,0.02563405949302104,2.6274459834619373e-05,1.6576824449554877
2016-12-28,-0.008539492699233486,0.0,0.0,1.6435266778191429
2016-12-29,0.00621995031512923,0.0,0.0,1.6537493320967673
2016-12-30,-0.004722715757957463,0.0,0.0,1.6459391440663622
2017-01-03,0.0032945677301681187,0.005227176458310171,5.406197700896764e-06,1.6513618020562237
2017-01-04,0.0040658295601285754,0.0,0.0,1.658075957685491
2017-01-05,0.0010195948957651968,0.0,0.0,1.6597665234687382
2017-01-06,0.0031386661628880486,0.0,0.0,1.6649759764942438
2017-01-09,-0.007792803672587834,0.03822436105860874,3.917670553709628e-05,1.652001145589849
2017-01-10,-0.0008485253601748788,0.0,0.0,1.650599380722778
2017-01-11,0.004200317452666802,0.0,0.0,1.6575324221089889
2017-01-12,-0.0012353780863867403,0.0,0.0,1.65548474287724
2017-01-13,0.0009986033395090743,0.0,0.0,1.6571379154699835
2017-01-17,0.00278790344950286,0.021174606198616386,2.170127897654284e-05,1.6617578559808242
2017-01-18,0.0016786805764719137,0.0,0.0,1.6645474166164587
2017-01-19,-0.0036439396951286618,0.0,0.0,1.6584819062106262
2017-01-20,0.0024940691284838223,0.0,0.0,1.6626182747330551
2017-01-23,-0.0038615217041015892,0.028060499306697254,2.8753328953309593e-05,1.6561980381795376
2017-01-24,0.004427637505732163,0.0,0.0,1.6635310827303014
2017-01-25,0.005074656897531282,0.0,0.0,1.6719729322135364
2017-01-26,-0.001097031296610429,0.0,0.0,1.6701387255798126
2017-01-27,-0.0011917674129717781,0.0,0.0,1.6681483086715243
2017-01-30,-0.003523039908828851,0.021911334562039284,2.2404561347003495e-05,1.6622713556062292
2017-01-31,0.004793382793176537,0.0,0.0,1.6702392585197823
2017-02-01,-0.006104579037273794,0.0,0.0,1.6600431509549907
2017-02-02,0.0043910575208685465,0.0,0.0,1.6673324959179578
2017-02-03,0.006433929686300521,0.0,0.0,1.678059995960378
2017-02-06,-0.0023623820010334473,0.018673693912424988,1.921451474875878e-05,1.6740957772292668
2017-02-07,0.002463445860243496,0.0,0.0,1.6782198215413333
2017-02-08,0.0024953713569055846,0.0,0.0,1.6824076032145987
2017-02-09,0.0027578515526303082,0.0,0.0,1.6870474336352812
2017-02-10,0.004282977037347813,0.0,0.0,1.6942730190544577
2017-02-13,0.005739740147312267,0.03607194864898819,3.689381911485103e-05,1.7039977059224325
2017-02-14,0.001582849703252176,0.0,0.0,1.7066948781855942
2017-02-15,0.005246290545787513,0.0,0.0,1.7156486953895633
2017-02-16,0.0017648760166835142,0.0,0.0,1.7186766026251108
2017-02-17,0.0018871251683223456,0.0,0.0,1.7219199604981315
2017-02-21,0.007206802234049459,1.734900829601097e-06,1.7732625065470619e-09,1.7343294971163037
2017-02-22,0.0002627423789929306,0.0,0.0,1.7347851789743336
2017-02-23,0.0025229067819962925,0.0,0.0,1.7391618802676745
2017-02-24,0.004336377776954059,0.0,0.0,1.746703543195793
2017-02-27,-0.0001384643196371549,2.9341237174756725e-16,2.9993666100620327e-19,1.7464616870780765
2017-02-28,0.0011305075291367928,0.0,0.0,1.7484360751646673
2017-03-01,0.0089687094866846,0.0,0.0,1.7641172903788582
2017-03-02,-0.0037350904319760625,0.0,0.0,1.7575281527666806
2017-03-03,-0.00017366227747817042,0.0,0.0,1.7572229364249392
2017-03-06,-0.0037517420689392456,1.1071964700254985e-17,1.1319917542446389e-20,1.7506302892098489
2017-03-07,-0.0024646110348141015,0.0,0.0,1.7463156664811825
2017-03-08,-0.004394366930078886,0.0,0.0,1.7386417146669189
2017-03-09,0.0003927563887133889,0.0,0.0,1.739324577308038
2017-03-10,0.004526927751988374,0.0,0.0,1.7471983740067691
2017-03-13,0.001180008181186798,2.3924178250423736e-16,2.4356273042405676e-19,1.7492600823822535
2017-03-14,-0.0037536763833286857,0.0,0.0,1.7426939261227157
2017-03-15,0.009348471757166577,0.0,0.0,1.7589854510724596
2017-03-16,-0.004015385807679239,0.0,0.0,1.751922445856309
2017-03-17,-0.0005169724545405208,0.0,0.0,1.75101675020931
2017-03-20,-0.0031064526117855484,0.0048578176849866095,4.949288376371237e-06,1.745577299652342
2017-03-21,-0.0062343413494820865,0.0,0.0,1.7346947749144022
2017-03-22,0.0010964445117220833,0.0,0.0,1.73659677147987
2017-03-23,-0.0015436991373654063,0.0,0.0,1.733915988541785
2017-03-24,-0.00022408188251454852,0.0,0.0,1.7335274493829504
2017-03-27,-0.0022283418201808347,1.2746702361698427e-16,1.2981797867049607e-19,1.729664557671059
2017-03-28,0.005140086575963654,0.0,0.0,1.738555183244864
2017-03-29,-0.0009071217200024018,0.0,0.0,1.7369781020767199
2017-03-30,0.0010719808572934308,0.0,0.0,1.738840109351684
2017-03-31,-0.0023943732034344967,0.0,0.0,1.7346766771887954
2017-04-03,-0.0012458127383009332,7.044487148694318e-17,7.250957224823994e-20,1.73251559488752
2017-04-04,0.0017217172153840554,0.0,0.0,1.735498496813159
2017-04-05,-0.0015413460294759762,0.0,0.0,1.7328234930959345
2017-04-06,0.0014176055667085574,0.0,0.0,1.7352799533258707
2017-04-07,-0.0008676893845313005,0.0,0.0,1.73377426933118
2017-04-10,0.0010777340283945058,2.082128102335652e-05,2.1220347105346946e-08,1.735642816858793
2017-04-11,-0.0005157373105687535,0.0,0.0,1.7347476811003182
2017-04-12,-0.0014599952408254069,0.0,0.0,1.7322149577418788
2017-04-13,-0.006209676061681213,0.0,0.0,1.721458463985103
2017-04-17,0.008564387712909127,3.4370055900737745e-17,5.1043668960036393e-20,1.7362017017023403
2017-04-18,-0.0019403990598172438,0.0,0.0,1.732832777552704
2017-04-19,-0.002838849452564296,0.0,0.0,1.727913526170763
2017-04-20,0.004853735016594918,0.0,0.0,1.736300360558386
2017-04-21,-0.0019383662753573727,0.0,0.0,1.7329347744955887
2017-04-24,0.011409113082056832,4.023426758152886e-06,4.093860764000395e-09,1.7527060233016376
2017-04-25,0.003940995467880626,0.0,0.0,1.7596134297959964
2017-04-26,-0.0021264349693579376,0.0,0.0,1.7558717262663264
2017-04-27,-7.300943198962351e-05,0.0,0.0,1.755743531068945
2017-04-28,-0.0034886048689372062,0.0,0.0,1.749618435637853
2017-05-01,-0.0012217194124023445,0.016595369336715064,1.6922294905899832e-05,1.7474808928307373
2017-05-02,-0.00024026562072021473,0.0,0.0,1.7470610332493246
2017-05-03,0.00016164878767410684,0.0,0.0,1.747343443547342
2017-05-04,0.003789607389994787,0.0,0.0,1.753965189173868
2017-05-05,0.0027810616943413358,0.0,0.0,1.7588430745746875
2017-05-08,-0.0012555271359454556,0.01107816243435685,1.1242892836258138e-05,1.7566347993666893
2017-05-09,-0.00261111387349644,0.0,0.0,1.7520480258713964
2017-05-10,0.0005040772204683019,0.0,0.0,1.7529311933704046
2017-05-11,-0.0006549470549345182,0.0,0.0,1.7517831162478037
2017-05-12,-0.001384215124747512,0.0,0.0,1.7493582715630163
2017-05-15,0.004919395095138723,0.015567446101449603,1.5867686529270376e-05,1.7579640560637837
2017-05-16,-0.0017277265410851061,0.0,0.0,1.7549267749058486
2017-05-17,-0.012485383413967877,0.0,0.0,1.733015841257711
2017-05-18,0.002870454343026463,0.0,0.0,1.7379903841057829
2017-05-19,0.006782184788669099,0.0,0.0,1.7497777560517183
2017-05-22,0.005957884450263462,1.7436287325827171e-06,1.769915661670931e-09,1.7602027297359157
2017-05-23,0.002925557254796818,0.0,0.0,1.7653523036018077
2017-05-24,0.002939331983019988,0.0,0.0,1.7705412600890826
2017-05-25,0.0059088065949379764,0.0,0.0,1.7810030459633068
2017-05-26,0.0008110865359860497,0.0,0.0,1.7824475935544377
2017-05-30,-0.0004322150889253251,5.176021223873812e-07,5.243869783664449e-10,1.781677192809285
2017-05-31,0.0010879464426385432,0.0,0.0,1.783615562173132
2017-06-01,0.00825580087209632,0.0,0.0,1.7983407370868054
2017-06-02,0.0023888823313298335,0.0,0.0,1.8026367614993428
2017-06-05,-0.0011553940936364082,1.5492950713704097e-07,1.569318458249402e-10,1.8005540056321345
2017-06-06,-0.0035934360522525965,0.0,0.0,1.7940838299542683
2017-06-07,0.0023027714789285447,0.0,0.0,1.798215195028694
2017-06-08,-0.0014002136743012095,0.0,0.0,1.7956973095232787
2017-06-09,0.002465690406994625,0.0,0.0,1.8001249431532362
2017-06-12,3.257422468050386e-05,4.8779216044337555e-08,4.9881673855501186e-11,1.8001835808275874
2017-06-13,0.00339745388173629,0.0,0.0,1.806299621522108
2017-06-14,0.002938386746124566,0.0,0.0,1.8116072283895184
2017-06-15,0.0006661778307299748,0.0,0.0,1.8128140809630617
2017-06-16,-0.000827279994978225,0.0,0.0,1.8113143761392663
2017-06-19,0.005550550819671374,0.0052561184422191595,5.381321343666604e-06,1.8213681686344285
2017-06-20,-0.004645868433625466,0.0,0.0,1.8129063317537597
2017-06-21,-0.002734242562415168,0.0,0.0,1.8079494060998067
2017-06-22,-0.0027659224874313493,0.0,0.0,1.802948758181337
2017-06-23,-0.00041645628874042995,0.0,0.0,1.8021979088327156
2017-06-26,0.0029259960619087977,0.001654701467103499,1.6761350550282724e-06,1.8074711328167403
2017-06-27,-0.007237406768573429,0.0,0.0,1.7943897290060913
2017-06-28,0.004747339407355167,0.0,0.0,1.8029083060787552
2017-06-29,-0.006915391253156544,0.0,0.0,1.7904404897486548
2017-06-30,0.0013228155352824622,0.0,0.0,1.792808912243493
2017-07-03,0.0019805759418445312,0.06857188283024529,6.950086100725998e-05,1.796359706443407
2017-07-05,0.0019232077050479468,0.0,0.0,1.7998144792718767
2017-07-06,-0.007204774423328009,0.0,0.0,1.7868472219448832
2017-07-07,0.0050277528986815145,0.0,0.0,1.7958310482445177
2017-07-10,0.00021148867735609755,0.061573178257146366,6.237783458299899e-05,1.796210846177666
