decision_date,effective_date,solver_status,turnover,transaction_cost,cost_multiplier,prob_calm,prob_transition,prob_stress,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-09-23,2016-09-26,optimal,4.614400942267221e-19,6.8130533926396295e-22,1.476476248570661,0.0681204433912478,0.9108066160761824,0.0210729405325698,1.5041853016336557e-15,0.0,0.0,0.09449503174919593,0.01804868905494783,0.2885565348427148,0.4490813084218461,0.1274384009640714,0.022380034967222285
2016-09-30,2016-10-03,optimal,4.2073035734886014e-17,4.275007151914676e-20,1.0160919166500593,0.9839080832431265,2.1362831919247312e-10,0.016091916543245204,1.531785200193224e-15,0.0,0.0,0.09736138206554162,0.018498211286839573,0.29323195289212184,0.43996048879935384,0.1280438894290662,0.022904075527075386
2016-10-07,2016-10-10,optimal,4.755793765000802e-17,7.048412434144347e-20,1.4820685636150916,0.057302683147475816,0.921257506474865,0.021439810377659203,1.520756465336719e-15,0.0,0.0,0.09831252983495148,0.018881581591554068,0.2953481718103369,0.43338799904947223,0.13070031841545274,0.02336939929823108
2016-10-14,2016-10-17,optimal,2.752401510592545e-17,4.084706487655502e-20,1.4840518259910904,0.05334875962233321,0.9251988287731527,0.021452411604514103,1.4882909004385927e-15,0.0,0.0,0.09764965090736347,0.018763384086417867,0.295273730279702,0.4387364523248576,0.12647995930184797,0.023096823099809722
2016-10-21,2016-10-24,optimal,2.544241298375733e-14,3.7767571547454304e-17,1.484433554771926,0.0521721553469692,0.9267885797622092,0.0210392648908216,2.6660384018596837e-16,0.0,1.0367533109775476e-14,0.09709159756813306,0.01879800267970432,0.2940344956026676,0.4403597270040795,0.12645001491240082,0.0232661622330041
2016-10-28,2016-10-31,optimal,1.830944405152916e-11,1.873420195795323e-14,1.023198842369471,0.9697817625831829,0.014038790094692102,0.016179447322124903,0.0,0.0,0.0,0.09699817985157322,0.018708243354558014,0.29565565951497935,0.44329652144147846,0.12259418473477368,0.02274721110263723
2016-11-04,2016-11-07,optimal,2.3344334084358744e-14,4.6115745421795976e-17,1.9754577387021983,0.006988087806954401,0.035108346981694606,0.957903565211351,0.0,9.161432407074479e-15,2.7286828335482588e-15,0.09738048254845938,0.018487110924168985,0.29409212930211026,0.4452727630556016,0.122063511724123,0.022704002445525007
2016-11-11,2016-11-14,optimal,9.493288480301938e-15,9.734096615539032e-18,1.0253661453285399,0.967676025302174,0.0139156587385724,0.0184083159592536,1.2762498575998177e-15,2.178487606528899e-15,8.41805186398562e-16,0.10608061793535685,0.01884980974635513,0.2901889825681167,0.43069984918786236,0.13041228786360232,0.023768452698702487
2016-11-18,2016-11-21,optimal,2.3370684596204126e-15,2.3923805748784206e-18,1.0236673063770634,0.9707186713256084,0.011228044594656702,0.018053284079735003,1.6159454062822372e-15,5.200603832810737e-16,2.346541231442832e-16,0.10631604382757268,0.019068259266699455,0.2894177079844505,0.43232361027189053,0.12870988599048697,0.024164492658897495
2016-11-25,2016-11-28,optimal,3.9732663972322086e-16,4.0688608661629947e-19,1.024059415949904,0.9698934688838721,0.012094230332447702,0.018012300783680203,1.6777228994014988e-15,1.1734777842536062e-16,2.7868912440495597e-16,0.1071459407591796,0.019038858984208554,0.2891836934697236,0.433906347642363,0.12639776981246903,0.024327389332054108
2016-12-02,2016-12-05,optimal,5.365690588910243e-18,5.503058046926327e-21,1.025601077017,0.974398922968552,2.889562202929671e-11,0.0256010770025524,1.7070631639631757e-15,1.2123995102230495e-16,2.828475136542537e-16,0.10837112394954945,0.018701202396538996,0.28831885181634603,0.4348244147626924,0.12567392775604921,0.02411047931882179
2016-12-09,2016-12-12,optimal,3.7310641202016566e-18,3.826814626256005e-21,1.0256630556242416,0.9486738895035857,0.05132610974434511,7.520691667390549e-10,1.7200143647368464e-15,1.254257746139939e-16,2.9139567667134377e-16,0.10784251808373381,0.019036608381344525,0.28985342916288903,0.43531964916914395,0.12356361651308963,0.024384178689796886
2016-12-16,2016-12-19,optimal,0.07475555179688892,7.660971777828731e-05,1.0248030539114494,0.9503938957012144,0.0496061007746724,3.524113199131976e-09,1.6783389093313916e-15,1.2724476959187574e-16,0.00021742106399967652,0.17957094748573013,0.01889984023599945,0.2588042439716445,0.39457227945685774,0.12412643950678182,0.023808828278984912
2016-12-23,2016-12-27,optimal,0.02563405949302104,2.6274459834619373e-05,1.0249824005352208,0.9500352137888606,0.04996477135183711,1.4859302305535894e-08,1.6693958226934222e-15,1.2864552735898305e-16,0.025131162446976045,0.18097834338105057,0.018995923702158916,0.2472394504346704,0.3804040114749173,0.12357585621119936,0.02367525234902557
2016-12-30,2017-01-03,optimal,0.005227176458310171,5.406197700896764e-06,1.034248172797378,0.9319389742820057,0.06762570584123272,0.00043531987676160005,1.661657451496478e-15,1.306579684239869e-16,0.03015626970596526,0.179845507944142,0.018872577063667514,0.2470602403926008,0.37715914349257595,0.12339136278230875,0.023514898618737866
2017-01-06,2017-01-09,optimal,0.03822436105860874,3.917670553709628e-05,1.0249145950936192,0.950170821752068,0.0498291663086259,1.1939306147071577e-08,1.6743738356255743e-15,1.3319068620448093e-16,0.06840751117628212,0.18041708502326578,0.01905791545138504,0.24617060047428227,0.33661638539617117,0.12553629142743775,0.02379421105117406
2017-01-13,2017-01-17,optimal,0.021174606198616386,2.170127897654284e-05,1.024872848778688,0.9502544696172688,0.0497453632080868,1.6717464450908286e-07,9.84639506119562e-11,0.004185687010754285,0.08562971152293286,0.1814929266977693,0.01924807857741185,0.2444780422126835,0.31480432804135244,0.12607177541437142,0.024089450424260316
2017-01-20,2017-01-23,optimal,0.028060499306697254,2.8753328953309593e-05,1.024690567300311,0.950619007084011,0.04938085123135611,1.4168463295129773e-07,1.0616814178834328e-10,0.008156955526329552,0.1081230308051037,0.18152028325066788,0.019238303580773667,0.24868027139806523,0.3018082553808694,0.10847196434212415,0.024000935609898293
2017-01-27,2017-01-30,optimal,0.021911334562039284,2.2404561347003495e-05,1.022510120666895,0.9549798062887122,0.04502014608878589,4.762250183563371e-08,1.2260609745841768e-09,0.014575210936129502,0.12552093601497485,0.18390765826973943,0.01953588743017426,0.2374061626549321,0.2868414716805055,0.10796992311647899,0.024242748671004285
2017-02-03,2017-02-06,optimal,0.018673693912424988,1.921451474875878e-05,1.028961641915633,0.9624711792161491,0.017134357736435808,0.020394463047415108,8.740500355907935e-09,0.01863907769021451,0.13950744917301255,0.18035100827345024,0.019400944382717035,0.23879199085454558,0.26947245155325694,0.10989953848771454,0.023937530844588155
2017-02-10,2017-02-13,optimal,0.03607194864898819,3.689381911485103e-05,1.0227841992640976,0.9544316266627045,0.045568348146395606,2.5190899871136277e-08,8.660018875192591e-09,0.018430176082553554,0.1745912751868895,0.18173822995010938,0.019453726474708315,0.23632448805675482,0.23588976791663274,0.10951636979580649,0.024055957876526386
2017-02-17,2017-02-21,optimal,1.734900829601097e-06,1.7732625065470619e-09,1.0221117405049516,0.9557765196613324,0.0442234796674324,6.712353422298863e-10,3.0925080979584655e-07,0.017810163394142497,0.17676665870976266,0.18201824012775697,0.01946503086968251,0.2361635647411069,0.23341119825001644,0.11045309471827656,0.023911739938445694
2017-02-24,2017-02-27,optimal,2.9341237174756725e-16,2.9993666100620327e-19,1.0222359037547641,0.9555281965122095,0.04447179946605301,4.021737524412057e-09,3.0562069819460105e-07,0.017318382631315535,0.17390249676623512,0.17943562404499974,0.019350626957203965,0.23631811769540415,0.23947601321703785,0.11054159423982267,0.023656838827282867
2017-03-03,2017-03-06,optimal,1.1071964700254985e-17,1.1319917542446389e-20,1.022394656134127,0.9552106878610308,0.0447893120096843,1.2928491423487062e-10,3.0512384946794474e-07,0.01745720208068886,0.1767547221583524,0.17952552416300757,0.019318846595848364,0.23430854091846548,0.23771946002091282,0.11137854584035183,0.023536853098523176
2017-03-10,2017-03-13,optimal,2.3924178250423736e-16,2.4356273042405676e-19,1.018061008719256,0.9638780097272553,0.03612196310697711,2.7165767526718314e-08,3.0366944466090795e-07,0.017074467824527886,0.17648738671220368,0.17924873105769673,0.019521576336740946,0.2352683295930218,0.23648453902563557,0.11228357941585841,0.023631086364870272
2017-03-17,2017-03-20,optimal,0.0048578176849866095,4.949288376371237e-06,1.0188295850763036,0.9623410621307145,0.037658705585963806,2.3228332171681822e-07,3.053023169716528e-07,0.01708802487657559,0.17916407064701542,0.17923441538549628,0.01963870656712553,0.23569006460773065,0.2341640673423254,0.11123137434325887,0.023788970928155347
2017-03-24,2017-03-27,optimal,1.2746702361698427e-16,1.2981797867049607e-19,1.0184436333947515,0.9631994479846008,0.0367138372412956,8.671477410369421e-05,3.0437437616745276e-07,0.016953710480357945,0.17423519173970572,0.17787185600052585,0.01965080137858747,0.23685427338577097,0.23957252008571892,0.11105252975384411,0.02380881280111291
2017-03-31,2017-04-03,optimal,7.044487148694318e-17,7.250957224823994e-20,1.0293094545807988,0.9415978527330705,0.05818538537226111,0.00021676189466830002,3.085888139520091e-07,0.017273618470439032,0.1755251399146008,0.17921400930920425,0.019812455381850686,0.23617803842305887,0.23673782548269645,0.11108349259369149,0.024175111835644504
2017-04-07,2017-04-10,optimal,2.082128102335652e-05,2.1220347105346946e-08,1.0191662598253568,0.9616936778045,0.0382801247402863,2.619745521368357e-05,3.621264908859755e-06,0.017403087979248517,0.17407027803897446,0.17950282304284035,0.019728726719598275,0.2368140317004839,0.23726338593714225,0.11121624054895966,0.023997804767843682
2017-04-13,2017-04-17,optimal,3.4370055900737745e-17,5.1043668960036393e-20,1.4851203357787017,0.04047699889494021,0.9488053306527163,0.010717670452343503,3.558402739681523e-06,0.01726602440798556,0.17069423910306455,0.1777059036569268,0.01961148038963614,0.23911869090548882,0.24026262547338836,0.11136463923163896,0.02397283842913122
2017-04-21,2017-04-24,optimal,4.023426758152886e-06,4.093860764000395e-09,1.0175059744047248,0.9650505190951087,0.03488701300033291,6.246790455835764e-05,1.0158224354248461e-06,0.01677485973102459,0.17148827712712483,0.18036175075697775,0.019779645340003673,0.23822928885896177,0.23890423914581346,0.11017878201614552,0.024282141201513053
2017-04-28,2017-05-01,optimal,0.016595369336715064,1.6922294905899832e-05,1.0196998067684753,0.9606004214594378,0.0393995435441738,3.4996388453297724e-08,1.2583829059953129e-06,3.178913409923478e-05,0.17257229638723415,0.18118691655324315,0.036603377212379336,0.23673414945367366,0.23649368560376838,0.1118284368979618,0.024548090374734377
2017-05-05,2017-05-08,optimal,0.01107816243435685,1.1242892836258138e-05,1.0148698308837218,0.9702603418618803,0.029739654508795507,3.629324254663901e-09,8.573238516887333e-07,8.883817827456208e-06,0.1739104956081979,0.18179982228668518,0.04788398561649385,0.22800027251710522,0.23202928050084182,0.11192409209856612,0.024442310230430857
2017-05-12,2017-05-15,optimal,0.015567446101449603,1.5867686529270376e-05,1.01928642796411,0.961427147251779,0.038572849568221795,3.179999077735604e-09,1.638713227199407e-07,2.345109935222264e-06,0.17279770247638448,0.1810900343771096,0.0642272415564386,0.22224447303540423,0.22363496612298656,0.11150759120784817,0.024495482242570314
2017-05-19,2017-05-22,optimal,1.7436287325827171e-06,1.769915661670931e-09,1.015075989857816,0.9698483917619137,0.030151236760540302,3.714775459692382e-07,9.412979062813388e-08,6.814719882324068e-07,0.17121401316368381,0.18066165061997733,0.06384124682144342,0.22376457492725013,0.2250908051198204,0.11110912334764947,0.024317810398396558
2017-05-26,2017-05-30,optimal,5.176021223873812e-07,5.243869783664449e-10,1.0131082460554244,0.973783511575016,0.0262164847391192,3.6858647899343293e-09,3.992676700074704e-08,1.902758474336725e-07,0.16994744378796914,0.18070120244069465,0.06396456223372742,0.22422725319011433,0.22656573092386478,0.11032286217225075,0.024270715048764414
2017-06-02,2017-06-05,optimal,1.5492950713704097e-07,1.569318458249402e-10,1.012924191943166,0.9741516184322666,0.025848379249134794,2.3185985904003616e-09,1.5300923459741023e-08,5.378682462915538e-08,0.1669052613805609,0.18079791777901805,0.06415685340129934,0.22473754489884437,0.22772013774108507,0.11128658765272273,0.024395628058721405
2017-06-09,2017-06-12,optimal,4.8779216044337555e-08,4.9881673855501186e-11,1.0226009743609155,0.9547983659381762,0.0452013194018167,3.146600070833416e-07,5.584746657095092e-09,1.614267781653635e-08,0.17312520619141247,0.18025397044933045,0.06293202446255211,0.2226933842873338,0.2254751527871685,0.11158582707988499,0.023934413014893182
2017-06-16,2017-06-19,optimal,0.0052561184422191595,5.381321343666604e-06,1.0238204109789018,0.9523591782031824,0.0476408216358317,1.6098594146638708e-10,1.0741066771435394e-09,3.2885926455510915e-09,0.1727137275375304,0.18202911167068417,0.06718825462914793,0.22019065399669668,0.22249624225420997,0.1115809979189253,0.02380100763010614
2017-06-23,2017-06-26,optimal,0.001654701467103499,1.6761350550282724e-06,1.0129531449333227,0.974093710598797,0.0259062889357609,4.6544214106940574e-10,2.2394260669670796e-10,6.692005768379736e-10,0.1707279150623106,0.18116414026190325,0.07046579239901539,0.21782920290584493,0.21990105162908746,0.11615779638723096,0.02375410046146432
2017-06-30,2017-07-03,optimal,0.06857188283024529,6.950086100725998e-05,1.0135475086678667,0.972904990264103,0.0270950021360606,7.599836361601675e-09,6.669490042936017e-11,2.070242162801422e-10,0.17722517264488485,0.1823804011144013,0.13741869133070173,0.21471067730427584,0.1493761007428554,0.1149811462773846,0.023907810311777168
2017-07-07,2017-07-10,optimal,0.061573178257146366,6.237783458299899e-05,1.0130682928610921,0.9738634399746162,0.0261365343285832,2.5696800525032546e-08,5.639670736462898e-08,5.145520588715397e-08,0.17963932654806955,0.18353078246245888,0.19947796419889333,0.1803005082808055,0.13613446421967018,0.09716550955508839,0.02375133688310087
2017-07-14,2017-07-17,optimal,1.362582065792669e-07,1.3803906398168847e-10,1.0130697258325176,0.9738605495922513,0.026139449150461805,1.257286792009112e-09,1.7925294901751356e-08,1.6587779168597155e-08,0.17675474453768913,0.1835614637922901,0.2039338614561707,0.17901774238374804,0.13577161504781787,0.09720794263120722,0.023752595638002787
2017-07-21,2017-07-24,optimal,2.5946943013307816e-08,2.6447207318687894e-11,1.0192802791883229,0.9614394439140382,0.038560553795277605,2.2906841441917146e-09,4.2975901790700226e-09,4.0040685661766106e-09,0.1749119550213919,0.1808178599016412,0.2049597134697272,0.17917965414348871,0.13856858234347838,0.097697369375293,0.023864857443320918
2017-07-28,2017-07-31,optimal,6.349274825974733e-09,6.433704118363699e-12,1.0132974701368365,0.9734050598900102,0.026594939946306805,1.6368296892675409e-10,1.0360233809336138e-09,9.954110249001737e-10,0.1759180290227488,0.1800545289968834,0.20512118426981701,0.1802613771498782,0.13809927960137458,0.09658128775080299,0.023964311177060618
2017-08-04,2017-08-07,optimal,1.1588692711823989e-09,1.1719074767612723e-12,1.0112507992947042,0.977498401519095,0.022501598372401604,1.0850343592914811e-10,6.181862589885316e-10,2.219814836045357e-10,0.17833221761494286,0.18033153787023196,0.20460893078579623,0.17824399227408558,0.1392641187894889,0.09547915967372929,0.023740042151557506
2017-08-11,2017-08-14,optimal,2.1597716893187367e-09,2.1681003000570583e-12,1.0038562459076166,0.9923404487340554,0.0076066107166563,5.294054928837016e-05,1.8866188268978585e-10,8.076012793395697e-11,0.17549709736859107,0.1795026596197153,0.20489971242615457,0.18041889260591096,0.1406030287358982,0.09540077860607522,0.023677830368232768
2017-08-18,2017-08-21,optimal,2.0351974599445909e-10,3.0066813107259374e-13,1.477341324319359,0.06541006289407719,0.9144972255731274,0.020092711532795297,4.413555043412354e-11,2.0980092503472934e-11,0.17500844191341672,0.17792145337055362,0.20513433206643839,0.18098272795497483,0.14282981034933728,0.09483076749211904,0.023292466788044437
2017-08-25,2017-08-28,optimal,4.966870764453648e-11,4.9794632956292796e-14,1.0025353047769539,0.9949294464582359,0.005070497529620201,5.601214387960458e-08,1.0385954216701293e-11,5.505420162575286e-12,0.17535299521755035,0.17782861773947942,0.2062157061109908,0.17822249932455553,0.143682673903737,0.09543818368435608,0.02325932400343947
2017-09-01,2017-09-05,optimal,1.2107431945909165e-11,1.213815495543305e-14,1.0025375331169435,0.9949249354284432,0.0050750629092268,1.6623301296326712e-09,2.4558900758810847e-12,1.4178675725033255e-12,0.1734243961751622,0.17881868693093744,0.20810062467029963,0.17751580426780722,0.14145426526561222,0.09727121712779538,0.023415005558512086
2017-09-08,2017-09-11,optimal,2.9487308944642624e-12,2.9563965305258416e-15,1.002599639077262,0.9948007398440657,0.005199242157344501,1.7998589827601627e-08,5.767093361541666e-13,3.6674729404481974e-13,0.16955257272279156,0.17903112339075478,0.20644260412383267,0.17876692000227587,0.14359347222345367,0.09931974403905677,0.02329356349689111
