decision_date,effective_date,candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2022-01-21,2022-01-24,g5_a100_cap25_s1,optimal,2.4839778668906877e-18,3.65771677536619e-21,0.8099558617921501,transition,0.059090513847882,0.9367711728689484,0.0041383132831696,5.0,1.0,0.25,1.0,8.278118799160259e-19,0.3077198372953202,0.1374099870303515,8.277892369673929e-19,0.5548701756743284,8.280461911736962e-19,8.280802128508223e-19,8.281657071203586e-19,8.280625057530794e-19
2022-01-28,2022-01-31,g5_a100_cap25_s1,optimal,1.6269181008824695e-17,2.396290498213895e-20,0.8098235956071596,transition,0.0582593611244191,0.9376778019473048,0.0040628369282762,5.0,1.0,0.25,1.0,0.0,0.31374623419111636,0.13512739023814552,0.0,0.5511263755707382,0.0,0.0,0.0,0.0
2022-02-04,2022-02-07,g5_a100_cap25_s1,optimal,0.062141497205713825,9.152334400118845e-05,0.8098475595269152,transition,0.0584517319119667,0.9374531861869708,0.0040950819010625,5.0,1.0,0.25,1.0,0.0,0.3831640586264571,0.13639316310143368,0.0,0.4804427782721092,0.0,0.0,0.0,0.0
2022-02-11,2022-02-14,g5_a100_cap25_s1,optimal,0.11224115031753434,0.00016555487301462844,0.808989187698644,transition,0.0540696685127512,0.9418753403674572,0.0040549911197916,5.0,1.0,0.25,1.0,0.0,0.3938248230333796,0.24945693781955347,0.0,0.35671823914229345,0.0,0.0,1.5196582936791654e-12,3.2537413120827833e-12
2022-02-18,2022-02-22,g5_a100_cap25_s1,optimal,3.2835544691736587e-12,4.844890119236605e-15,0.8088056720004742,transition,0.052971281979316005,0.9430540860309305,0.003974631989753401,5.0,1.0,0.25,1.0,1.3319288607225535e-13,0.390135205285766,0.25001662765915644,1.3303606624048325e-13,0.3598481670523895,7.21154743069702e-13,1.3311023598111417e-13,5.422217712395916e-13,1.0252474057546933e-12
2022-02-25,2022-02-28,g5_a100_cap25_s1,optimal,0.03069469605576722,4.5307672088600924e-05,0.8085901574945549,transition,0.0517695332713668,0.944311024151481,0.0039194425771521,5.0,1.0,0.25,1.0,1.6664163455487545e-13,0.3915645386518615,0.24715029257249485,1.788719850523571e-13,0.33059047273191894,0.030694696038234055,0.0,0.0,5.1449979701602196e-12
2022-03-04,2022-03-07,g5_a100_cap25_s1,optimal,0.047223562895737675,6.973535252468518e-05,0.8083548851690268,transition,0.050436278438172916,0.9457140092982542,0.003849712263572901,5.0,1.0,0.25,1.0,0.0,0.42158781642363474,0.18476370533800712,0.0,0.33282274101160647,0.06082573722675176,0.0,0.0,0.0
2022-03-11,2022-03-14,g5_a100_cap25_s1,optimal,2.3133454446508375e-16,3.416810327664979e-19,0.8082574909850239,transition,0.049771427423012604,0.9464579181334793,0.0037706544435081005,5.0,1.0,0.25,1.0,0.0,0.4355611874649989,0.18269793212556537,0.0,0.3238157267352529,0.057925153674182835,0.0,0.0,1.1640985176197651e-17
2022-03-18,2022-03-21,g5_a100_cap25_s1,optimal,7.246792100345114e-16,1.0708458456824916e-18,0.8079993325793458,transition,0.0483453770808595,0.947944083281749,0.0037105396373916,5.0,1.0,0.25,1.0,0.0,0.4092361152309424,0.19131034890501647,0.0,0.34066227878398375,0.05879125708005681,0.0,2.601435870908933e-16,1.260979058950351e-16
2022-03-25,2022-03-28,g5_a100_cap25_s1,optimal,5.671216496223561e-16,8.380551084006615e-19,0.8079996178504006,transition,0.0481580836313653,0.9482152522000296,0.0036266641686052,5.0,1.0,0.25,1.0,0.0,0.4222435564088522,0.18660257509010766,0.0,0.3338799800785718,0.057273888422468285,0.0,0.0,0.0
