,vs_EqualWeight_weekly,vs_Markowitz_CVXPY_weekly,vs_HMM_MPC_CVXPY_weekly
2013-12-19,0.05946467597266447,0.07811845145639973,0.05905814920000152
2013-12-20,0.05893939858200037,0.07751620910615697,0.059263100833631954
2013-12-23,0.05972819465580259,0.081428937713099,0.06189792046008469
2013-12-24,0.05617716182794252,0.08093381433645752,0.061662549664020405
2013-12-26,0.05799728279910088,0.08317684527930846,0.06218336291985582
2013-12-27,0.05548239633420793,0.08009082855225347,0.0604128868121343
2013-12-30,0.05696537229994636,0.0791919868632418,0.05923450765562488
2013-12-31,0.05485215379096564,0.08085121026521125,0.06058175539932553
2014-01-02,0.059743819810404775,0.08575438549132741,0.06398980721175707
2014-01-03,0.0630339579092356,0.08878514999453624,0.06690808191549724
2014-01-06,0.06230230321098151,0.08881822130594985,0.06778534504889366
2014-01-07,0.06321968463993666,0.08740509792983375,0.06669028104983243
2014-01-08,0.06877744372790695,0.09274949854473458,0.07160630704807369
2014-01-09,0.07211310690494632,0.09131157256571987,0.07088415172618623
2014-01-10,0.07103045646063566,0.08886963644587187,0.0696896001027627
2014-01-13,0.07105247779573043,0.08349514531070357,0.06576890595282436
2014-01-14,0.07153444424711175,0.08657072574803415,0.06783954759580335
2014-01-15,0.07101790336610114,0.09072090395412236,0.07135341046289367
2014-01-16,0.06926944587997474,0.08659688026082679,0.06889852218593062
2014-01-17,0.07040575474542998,0.0880183175108773,0.07081151545908049
2014-01-21,0.06865049099175047,0.08486851919250515,0.06947870695252734
2014-01-22,0.0696816196132577,0.08549838160649448,0.06984853141622938
2014-01-23,0.06923756291328509,0.08266231526864298,0.06766205274319681
2014-01-24,0.0671833746486672,0.07512954422061213,0.061502356690306126
2014-01-27,0.06440286910959903,0.0728024155142033,0.06006456589503517
2014-01-28,0.06968240193514474,0.07564480664423545,0.0624504746119825
2014-01-29,0.06632833454869225,0.07497846147716003,0.06390046340834932
2014-01-30,0.07280115613951565,0.08115208566605348,0.0697557661916921
2014-01-31,0.06756604048933523,0.07364317956989552,0.06544651234365384
2014-02-03,0.06595381110360798,0.06864542051510014,0.062100489242890244
2014-02-04,0.06985082028369072,0.07454217954890918,0.06643180912716007
2014-02-05,0.0689334232690102,0.07460925081851477,0.06603733237647358
2014-02-06,0.06794857685704558,0.07872238998623282,0.06889612903266507
2014-02-07,0.07033956179237943,0.08196767203246758,0.07153360438235468
2014-02-10,0.07303205648399635,0.07968260147761463,0.06993990375523262
2014-02-11,0.07313146390733061,0.07889305789612688,0.0693653323828578
2014-02-12,0.07296458013166407,0.08072011512609079,0.07113794865560541
2014-02-13,0.07251082950395227,0.07881516590686632,0.06985424190844647
2014-02-14,0.07008120455967015,0.07724204372980914,0.06832842510287374
2014-02-18,0.07410798957563891,0.08082187597667656,0.07195720717989995
2014-02-19,0.07130871960365681,0.07631107444947349,0.06773960376323007
2014-02-20,0.0713124907164786,0.0759518416647118,0.06753945446164389
2014-02-21,0.07277768636331339,0.07742226529485796,0.06889104143186775
2014-02-24,0.07479722060467031,0.08038381842315512,0.07135427521460747
2014-02-25,0.07369059308135717,0.07876413804160842,0.0691141427397961
2014-02-26,0.07433468909465657,0.08088907232989251,0.07048682856175148
2014-02-27,0.07514861597932043,0.0825691900531138,0.07170061990444077
2014-02-28,0.07348728647476732,0.08055642201574464,0.06995544205464399
2014-03-03,0.07279933095632773,0.07960330767073232,0.0690318796205669
2014-03-04,0.07675743101519528,0.0832155469589988,0.07223773106273668
2014-03-05,0.07963390138746185,0.08983520280655521,0.07787851739489171
2014-03-06,0.07632963723168573,0.0918884005459637,0.07930844012140392
2014-03-07,0.07539177620044035,0.09064847435207901,0.07847661426826624
2014-03-10,0.07779934172775849,0.09080514346123758,0.07868583915550809
2014-03-11,0.07937056070466131,0.08815811403407947,0.0763659229365532
2014-03-12,0.07717527977611693,0.0836837255025289,0.07305251394746182
2014-03-13,0.07252312823079876,0.07559173049472268,0.06685760502966387
2014-03-14,0.06953897393241504,0.07173092163302908,0.06347975818860929
2014-03-17,0.07025350559618504,0.07348850113628758,0.06521721833372562
2014-03-18,0.07237626113142648,0.07678635788869448,0.06807171305784587
2014-03-19,0.07655608479526665,0.08128785672233696,0.07186905659322118
2014-03-20,0.07484584944212913,0.08382851189125406,0.07436045166138827
2014-03-21,0.06563781405828806,0.07820947882674112,0.06980613511645539
2014-03-24,0.06057870050855385,0.0736655840654783,0.06638010520647741
2014-03-25,0.05889129034499985,0.06930186844082042,0.06293946447690302
2014-03-26,0.06243116792044523,0.06678407333522629,0.06077720313010482
2014-03-27,0.05918148362513831,0.06251754108231022,0.05756203628310819
2014-03-28,0.054792489668898936,0.06330411803239766,0.05785347844095878
2014-03-31,0.05738497035525447,0.06412702353890065,0.05899820356890162
2014-04-01,0.05968275183363203,0.0710942525559013,0.06423628661821357
2014-04-02,0.06067242534145745,0.0737665868692381,0.06623171344049217
2014-04-03,0.05783056750494753,0.07063662448616981,0.06377647721505708
2014-04-04,0.052185452024615,0.061851190938098766,0.056786307938662794
2014-04-07,0.04964803931167561,0.05178117084995937,0.04827408414425882
2014-04-08,0.04242094419170628,0.048006626727592705,0.044825586173218746
2014-04-09,0.048874187935116664,0.05465039330267296,0.050392404155970016
2014-04-10,0.038144859046586044,0.04262836539086079,0.04017308204125292
2014-04-11,0.03555949547136139,0.037281162021648884,0.03588168156111049
2014-04-14,0.03408716694814107,0.037355772283739874,0.0357620440252151
2014-04-15,0.03462924584439775,0.037259750566761785,0.0368940712394672
2014-04-16,0.031608377686693334,0.037440081658472346,0.0366997101638844
2014-04-17,0.031130517579927464,0.04164447358185552,0.03891887594414545
2014-04-21,0.03518196193841017,0.045114187296602326,0.041002106102018265
2014-04-22,0.041062572094990424,0.05117943600050645,0.04568768231180642
2014-04-23,0.03880879283365468,0.049909624459332225,0.045287515446935656
2014-04-24,0.037290065912670034,0.04706000910173391,0.043240707592933525
2014-04-25,0.03347772363153334,0.035211583752236875,0.035273962811359416
2014-04-28,0.032404584474629905,0.028571190063831686,0.02911153468518468
2014-04-29,0.03527605129937128,0.036471884230743434,0.03534487125035213
2014-04-30,0.03385606005331643,0.03619162694865219,0.03493205994519455
2014-05-01,0.036317155098979814,0.03719143805425529,0.03612792552767119
2014-05-02,0.03486445655400927,0.04192931050117066,0.03786002520154619
2014-05-05,0.03468421773906405,0.04110809690313655,0.03783427170786857
2014-05-06,0.03115108661201038,0.036371755668285655,0.03415911211839995
2014-05-07,0.027921591288872172,0.031215357712721437,0.03135681738303897
2014-05-08,0.029103531095418633,0.03386462753489439,0.032495351551173446
2014-05-09,0.03350238704520203,0.038789303370418526,0.03427753216462914
2014-05-12,0.03619688205985594,0.04864799853919255,0.04104028080691502
2014-05-13,0.03516701136719447,0.046597199508014775,0.03947936984078626
2014-05-14,0.034640529483849436,0.04322488895986765,0.03771198080462512
2014-05-15,0.033984814950554165,0.04134150936847791,0.03649970960555904
2014-05-16,0.03455485168784911,0.04079630625907438,0.03558861948450964
2014-05-19,0.03792297509613696,0.04897980497246546,0.040833394199815354
2014-05-20,0.035001170934862325,0.043696595922221526,0.03668871274148522
2014-05-21,0.03730874570691389,0.0480705985062444,0.039675459297934035
2014-05-22,0.039134379491691185,0.049424471117562874,0.041351883236679265
2014-05-23,0.039012016118875614,0.05285445741643047,0.043756629191402885
2014-05-27,0.039195986680264694,0.0533385454498676,0.04446677520159814
2014-05-28,0.03763682267737867,0.05190303692796783,0.04383045645999184
2014-05-29,0.037904903946198054,0.05134600363370834,0.04305101614512585
2014-05-30,0.037170220580109214,0.04699671381732062,0.03930981653310228
2014-06-02,0.03813230544193291,0.04975460352278849,0.04166300419045643
2014-06-03,0.03901912713920397,0.05050395866953439,0.04291347181444438
2014-06-04,0.039242448794896356,0.05019212589495381,0.04204236184625709
2014-06-05,0.037525489104854204,0.050780340802389023,0.043075578813086324
2014-06-06,0.03550949240805834,0.05335966647962964,0.044786100458076517
2014-06-09,0.033492849212697795,0.05544127166961599,0.04622492522382804
2014-06-10,0.034796660062055285,0.05570889399852108,0.046233256687883584
2014-06-11,0.034866277138962065,0.056174569780984784,0.045466332704447554
2014-06-12,0.03375864889109215,0.05267245981124624,0.043587722068149315
2014-06-13,0.03163662437599779,0.052687490076547716,0.04435582860358278
2014-06-16,0.031715065424166244,0.05023763483846433,0.04240442253074361
2014-06-17,0.03025641507255572,0.05145733478086445,0.043158389572511835
2014-06-18,0.02953289371663481,0.04712434097163243,0.04044338918751045
2014-06-19,0.03042332216368626,0.04463738226616765,0.03896558720094512
2014-06-20,0.03371533039377139,0.04953441608239273,0.0432277780676531
2014-06-23,0.030585894586226958,0.05013667277331746,0.043439110074515286
2014-06-24,0.03430717354413071,0.04803366012467891,0.041810964112952265
2014-06-25,0.03699007981649616,0.05123508261573906,0.04438116780894741
2014-06-26,0.03818985717650292,0.05237269449392423,0.04569725713431905
2014-06-27,0.03606891462458539,0.05130718037825366,0.04492054754016883
2014-06-30,0.033424859670804,0.048810188179156055,0.04343932679420659
2014-07-01,0.03689966736894279,0.053759549056589195,0.04600621534266147
2014-07-02,0.040214530378303026,0.05669281134958859,0.04650494699250585
2014-07-03,0.04009929908278842,0.059665014642884096,0.047602929323848686
2014-07-07,0.037304579789917636,0.05438968929307708,0.04324986614451398
2014-07-08,0.03532866907161103,0.050680599808689664,0.04094321520272759
2014-07-09,0.03403510975343482,0.0506542230854119,0.03973031851550202
2014-07-10,0.03614357228362164,0.04831892305512464,0.038706353882336675
2014-07-11,0.037747832707083484,0.05080158951217517,0.04028530919429807
2014-07-14,0.037180763283473306,0.052782206972608714,0.04109718951376817
2014-07-15,0.03451926960153617,0.05440594922892217,0.043323275714974185
2014-07-16,0.030572216930921048,0.05521758132908339,0.044128710655013226
2014-07-17,0.03002325541989781,0.052329056171728006,0.041345297040366935
2014-07-18,0.03320285661391731,0.05252216742557936,0.04159884303356898
2014-07-21,0.032657432910953244,0.0534920647390873,0.042827727947883254
2014-07-22,0.034817379907045254,0.057092826217196135,0.04583137921261615
2014-07-23,0.036838292989075816,0.058157654828138394,0.047010197223300576
2014-07-24,0.034236982558676576,0.05487046374865434,0.04383696344567278
2014-07-25,0.03566279798649785,0.05636049566346957,0.04557114882981117
2014-07-28,0.03532384508076558,0.05589926719416072,0.04595240174870052
2014-07-29,0.03608957078141395,0.05489148901786711,0.04443021086065069
2014-07-30,0.03928485619806832,0.06182519321327651,0.049403414082975994
2014-07-31,0.0384458143648958,0.05994296876854466,0.04777218165729247
2014-08-01,0.04065731040762377,0.05623838694192029,0.04482225868585488
2014-08-04,0.03790488972575368,0.05835608886260424,0.04591475714562265
2014-08-05,0.03911144340583905,0.05733980090429758,0.04462436203524689
2014-08-06,0.03709356235957606,0.05449828587978134,0.04132167717851787
2014-08-07,0.03435579537912159,0.053848621553419296,0.04163901077698151
2014-08-08,0.0346071916518218,0.05412953892701289,0.04211107984213536
2014-08-11,0.033101654899345245,0.05235223391874144,0.04004480777615638
2014-08-12,0.033341081913128345,0.05231645829595144,0.04010963711026294
2014-08-13,0.03743942932352451,0.05577593382429602,0.043559375440781256
