decision_date,effective_date,selected_candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,score,selector_reason,selection_observations,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,selection_ann_return,selection_sharpe,selection_active_return,selection_information_ratio,selection_drawdown_improvement,candidate
2017-01-27,2017-01-30,g8_a025_cap25_s1,optimal,0.0001149206830553882,1.1750756149808698e-07,0.24774898495690414,calm,0.9549798062887122,0.04502014608878589,4.762250183563371e-08,8.0,0.25,0.25,1.0,0.7762267835273711,rolling_score,756,1.1866777663500526e-09,3.2510135021543313e-09,0.00011489112221002897,4.243531725661269e-10,0.17178463333338828,0.048909165261089786,0.3710606675288302,0.08968565351912175,0.31844498437331553,0.10047544606413261,0.8251324028909031,-0.00421324470333084,-0.11269446384154011,0.03065770386497113,g8_a025_cap25_s1
2017-02-03,2017-02-06,g8_a025_cap25_s1,optimal,0.014658264171762879,1.508279156981023e-05,0.24582918186797326,calm,0.9624711792161491,0.017134357736435808,0.020394463047415108,8.0,0.25,0.25,1.0,0.8824083339401969,rolling_score,756,0.0,0.0,0.014772967524259373,0.0,0.17087480607962222,0.04927453597468096,0.3586951424982793,0.09143663363769801,0.3149459142854601,0.10954658198906975,0.9061670145897587,-0.00225032400496984,-0.059641720548419576,0.030657703864971686,g8_a025_cap25_s1
2017-02-10,2017-02-13,g8_a025_cap25_s1,optimal,0.03993299969358899,4.0842841115820866e-05,0.247721578499159,calm,0.9544316266627045,0.045568348146395606,2.5190899871136277e-08,8.0,0.25,0.25,1.0,0.8129371199027734,rolling_score,756,0.0,0.0,0.054585328154697466,0.0,0.1711527778212764,0.04931910585740347,0.31776555732253203,0.0910184383180921,0.31615879252599854,0.09984486357143685,0.8292720143092074,-0.001666473707146209,-0.04400150642971763,0.03065770386496991,g8_a025_cap25_s1
2017-02-17,2017-02-21,g8_a025_cap25_s1,optimal,3.0588016503454434e-18,3.1264370786939997e-21,0.24778882590755263,calm,0.9557765196613324,0.0442234796674324,6.712353422298863e-10,8.0,0.25,0.25,1.0,0.85430327746499,rolling_score,756,2.0252501983979484e-18,2.0871640634731272e-18,0.0554708973574648,2.005189038819811e-18,0.1718904611605534,0.04946899920185813,0.31559782921963636,0.0921384767186229,0.31543333634186443,0.10281235447457626,0.8545183005454071,-0.00038386043468134157,-0.010114894477000326,0.030657703864971242,g8_a025_cap25_s1
2017-02-24,2017-02-27,g8_a025_cap25_s1,optimal,9.628153549620005e-09,9.842244245285447e-12,0.247776409373165,calm,0.9555281965122095,0.04447179946605301,4.021737524412057e-09,8.0,0.25,0.25,1.0,0.9156539920075437,rolling_score,756,1.6203192601898603e-09,3.975339524337301e-09,0.05440698269890786,9.805169868825735e-10,0.17036315720642867,0.04935159373216017,0.3228184084960775,0.09193329459770636,0.3111265566925436,0.10550952526192092,0.8765655326115576,0.0027574575565363886,0.07243722175791864,0.030657703864972463,g8_a025_cap25_s1
2017-03-03,2017-03-06,g8_a025_cap25_s1,optimal,1.6610038990151624e-18,1.6982015101710513e-21,0.24776053437850698,calm,0.9552106878610308,0.0447893120096843,1.2928491423487062e-10,8.0,0.25,0.25,1.0,0.8643298555824832,rolling_score,756,1.6226454298940639e-09,4.0194921082251705e-09,0.05546889244343473,9.840163203122154e-10,0.17060489122356207,0.049081963476471945,0.32143314143636065,0.09291338636194606,0.31049771843207064,0.10103852397641688,0.8418252494971077,0.0014419059411458306,0.037555346558345394,0.030657703864971686,g8_a025_cap25_s1
2017-03-10,2017-03-13,g8_a025_cap25_s1,optimal,7.855767440868104e-07,7.99765052511407e-10,0.24819389743021392,calm,0.9638780097272553,0.03612196310697711,2.7165767526718314e-08,8.0,0.25,0.25,1.0,0.8694162389129132,rolling_score,756,1.2885828993316287e-07,2.9912691508918297e-07,0.05526171670656188,9.167199903832345e-08,0.17201056854091767,0.04917283215495421,0.31904954277349684,0.09345942345474398,0.31104539671212134,0.10083487641939337,0.839736013819996,0.002019897060635263,0.052604438479752956,0.03065770386497013,g8_a025_cap25_s1
2017-03-17,2017-03-20,g8_a025_cap25_s1,optimal,2.2530648310715586e-10,2.295489106990648e-13,0.24811702697466204,calm,0.9623410621307145,0.037658705585963806,2.3228332171681822e-07,8.0,0.25,0.25,1.0,0.8735747401098487,rolling_score,756,1.2893468532040888e-07,2.97941917741791e-07,0.0543038286735527,9.122877196197739e-08,0.1721709644241818,0.04901283363009216,0.3208483602374778,0.09211724380596668,0.3115462511233539,0.10060490512970754,0.8380129502349967,0.0024942868820973844,0.06493640132727846,0.030657703864971797,g8_a025_cap25_s1
2017-03-24,2017-03-27,g8_a025_cap25_s1,optimal,2.872828707643207e-17,2.925814107132896e-20,0.24815021698714337,calm,0.9631994479846008,0.0367138372412956,8.671477410369421e-05,8.0,0.25,0.25,1.0,0.9138832497029205,rolling_score,756,1.2772833409393853e-07,2.9372708732034383e-07,0.052475296605244554,8.996159710851756e-08,0.17118542766671754,0.04894285008437958,0.32617905294450333,0.09138640288306449,0.3098304583990719,0.10073381598944375,0.8400854457160493,0.005597351357317905,0.14501111423122387,0.03065770386497202,g8_a025_cap25_s1
2017-03-31,2017-04-03,g8_a025_cap25_s1,optimal,1.877170594903339e-19,1.9321894411950692e-22,0.24705550692350334,calm,0.9415978527330705,0.05818538537226111,0.00021676189466830002,8.0,0.25,0.25,1.0,0.8667461877848257,rolling_score,756,1.2916238802597387e-07,2.9849652970710405e-07,0.052727244932949946,9.040628079015533e-08,0.17214783088966498,0.0486770521345246,0.32148702329895784,0.09117575750377158,0.31378457317493247,0.09752474979839088,0.8146126538937096,0.0038506983191240953,0.09958370418280554,0.03065770386497113,g8_a025_cap25_s1
2017-04-07,2017-04-10,g8_a025_cap25_s1,optimal,3.2423494778608558e-19,3.3044931903981474e-22,0.24808173667651345,calm,0.9616936778045,0.0382801247402863,2.619745521368357e-05,8.0,0.25,0.25,1.0,0.904531242895134,rolling_score,756,1.2999642280601084e-07,3.013660325219229e-07,0.052418051062493046,9.077618726872374e-08,0.17185668664160358,0.04893104668845691,0.3230210492249508,0.091511927118792,0.31226071712506104,0.10181701926506648,0.8525028223293192,0.0038433707943224212,0.09935755849356089,0.030657703864971242,g8_a025_cap25_s1
2017-04-13,2017-04-17,g8_a025_cap25_s1,optimal,9.448087062968076e-08,1.4031546231421558e-10,0.20081811201885835,transition,0.04047699889494021,0.9488053306527163,0.010717670452343503,8.0,0.25,0.25,1.0,0.9593038228719096,rolling_score,756,9.675617841685611e-08,3.1179770879996287e-07,0.05128252050257464,2.5866798692056726e-08,0.17044015765773524,0.04929295513383559,0.32634763786393056,0.09142206078616981,0.3112142336350683,0.10405056096118148,0.8770510787422976,0.006303957844465182,0.1626154321523401,0.030657703864970465,g8_a025_cap25_s1
2017-04-21,2017-04-24,g8_a025_cap25_s1,optimal,2.1546048622551327e-07,2.1923233198260667e-10,0.2482454983154926,calm,0.9650505190951087,0.03488701300033291,6.246790455835764e-05,8.0,0.25,0.25,1.0,0.9173248407064718,rolling_score,756,1.2445036138484557e-07,8.666313730468832e-08,0.05138245267045401,5.311398430560178e-08,0.1714345080614956,0.04897704588701946,0.3236253694495517,0.09020455104486162,0.31437580865913467,0.09789019489690753,0.8260036648529424,0.0070517624267976056,0.18154748855047048,0.030657703864972463,g8_a025_cap25_s1
2017-04-28,2017-05-01,g8_a025_cap25_s1,optimal,5.290730677539549e-07,5.394957049551123e-10,0.24803001713587816,calm,0.9606004214594378,0.0393995435441738,3.4996388453297724e-08,8.0,0.25,0.25,1.0,0.9314318445873495,rolling_score,756,4.471498820787724e-08,3.4116896095285655e-08,0.05151480646016081,1.6599796410371326e-07,0.1730224520473522,0.04848887955875049,0.31916979769949055,0.09121322990310715,0.31659058950129043,0.10127872878929955,0.8540036494631591,0.005927743184701264,0.15243513293760536,0.030657703864971908,g8_a025_cap25_s1
2017-05-05,2017-05-08,g8_a025_cap25_s1,optimal,2.6158983902457755e-08,2.6547963569177304e-11,0.24851301668479503,calm,0.9702603418618803,0.029739654508795507,3.629324254663901e-09,8.0,0.25,0.25,1.0,0.9705451301640476,rolling_score,756,4.806410359985569e-08,7.565563692265378e-09,0.05199950685196839,1.699980209866963e-07,0.17424958252138592,0.0483436629210084,0.31816799641623966,0.0914398731100181,0.31579915255169105,0.10512030199317568,0.8873227773906419,0.006406998354832547,0.16452425120998707,0.03065770386497213,g8_a025_cap25_s1
2017-05-12,2017-05-15,g8_a025_cap25_s1,optimal,5.911522835561254e-09,6.025534994887497e-12,0.24807135700483907,calm,0.961427147251779,0.038572849568221795,3.179999077735604e-09,8.0,0.25,0.25,1.0,0.9180316511597327,rolling_score,756,4.8037366889666484e-08,1.7096995250924538e-09,0.05143064288374324,1.6927697223223e-07,0.17626335581767144,0.04815526098602123,0.3184272604419954,0.09068322805900289,0.31504003278752724,0.09865628217928579,0.8336523232290982,0.00650363346057798,0.16693351357433192,0.03065770386497224,g8_a025_cap25_s1
2017-05-19,2017-05-22,g8_a025_cap25_s1,optimal,1.3345996118434488e-09,1.354720022055846e-12,0.24849237779687175,calm,0.9698483917619137,0.030151236760540302,3.714775459692382e-07,8.0,0.25,0.25,1.0,0.9695096504045596,rolling_score,756,4.811523072296671e-08,3.8598589084606744e-10,0.051048135747556254,1.6933279447337293e-07,0.175509108239119,0.04856918953190687,0.3210591460063612,0.0905166585253246,0.3132975441157209,0.10379908133267679,0.8768705264650208,0.007198436138824156,0.18410899020536195,0.03065770386497113,g8_a025_cap25_s1
