,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_SHY_weekly
2015-05-20,0.0,0.0,0.0
2015-05-21,0.0,0.0,0.0
2015-05-22,0.0,0.0,0.0
2015-05-26,3.067676467686138e-06,0.00011311142922688401,8.197011047238768e-05
2015-05-27,0.0,0.0,0.0
2015-05-28,0.0,0.0,0.0
2015-05-29,0.0,0.0,0.0
2015-06-01,2.8620106459312025e-06,3.68327684711147e-05,9.26173073920237e-07
2015-06-02,0.0,0.0,0.0
2015-06-03,0.0,0.0,0.0
2015-06-04,0.0,0.0,0.0
2015-06-05,0.0,0.0,0.0
2015-06-08,4.909799188305523e-06,0.0001080150889927643,6.313725364744e-05
2015-06-09,0.0,0.0,0.0
2015-06-10,0.0,0.0,0.0
2015-06-11,0.0,0.0,0.0
2015-06-12,0.0,0.0,0.0
2015-06-15,2.3321923821452636e-06,3.877621507927382e-05,2.0807321717702272e-07
2015-06-16,0.0,0.0,0.0
2015-06-17,0.0,0.0,0.0
2015-06-18,0.0,0.0,0.0
2015-06-19,0.0,0.0,0.0
2015-06-22,4.344666149504031e-06,9.481698746108176e-05,2.5990464062523926e-05
2015-06-23,0.0,0.0,0.0
2015-06-24,0.0,0.0,0.0
2015-06-25,0.0,0.0,0.0
2015-06-26,0.0,0.0,0.0
2015-06-29,3.977844850492872e-06,2.0753893235518536e-05,2.6940498933264627e-05
2015-06-30,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0
2015-07-02,0.0,0.0,0.0
2015-07-06,3.580855790132606e-06,3.9221493034701915e-05,1.604051788694858e-16
2015-07-07,0.0,0.0,0.0
2015-07-08,0.0,0.0,0.0
2015-07-09,0.0,0.0,0.0
2015-07-10,0.0,0.0,0.0
2015-07-13,4.599047094900083e-06,1.9908424280992917e-05,2.692413286647754e-14
2015-07-14,0.0,0.0,0.0
2015-07-15,0.0,0.0,0.0
2015-07-16,0.0,0.0,0.0
2015-07-17,0.0,0.0,0.0
2015-07-20,6.460655631969431e-06,2.49424582474573e-05,7.173113780705127e-05
2015-07-21,0.0,0.0,0.0
2015-07-22,0.0,0.0,0.0
2015-07-23,0.0,0.0,0.0
2015-07-24,0.0,0.0,0.0
2015-07-27,7.108179221451593e-06,3.6177788957993476e-05,1.333879822546537e-16
2015-07-28,0.0,0.0,0.0
2015-07-29,0.0,0.0,0.0
2015-07-30,0.0,0.0,0.0
2015-07-31,0.0,0.0,0.0
2015-08-03,5.109946878834059e-06,3.837488183941513e-05,1.2315198478065403e-13
2015-08-04,0.0,0.0,0.0
2015-08-05,0.0,0.0,0.0
2015-08-06,0.0,0.0,0.0
2015-08-07,0.0,0.0,0.0
